,Date (GMT),Count
526,2014-09-23,0
527,2014-09-24,0
528,2014-09-25,0
529,2014-09-26,0
530,2014-09-27,0
531,2014-09-28,0
532,2014-09-29,0
533,2014-09-30,0
534,2014-10-01,0
535,2014-10-02,0
536,2014-10-03,0
537,2014-10-04,0
538,2014-10-05,0
539,2014-10-06,0
540,2014-10-07,0
541,2014-10-08,0
542,2014-10-09,0
543,2014-10-10,0
544,2014-10-11,0
545,2014-10-12,1
546,2014-10-13,0
547,2014-10-14,0
548,2014-10-15,0
549,2014-10-16,0
550,2014-10-17,0
551,2014-10-18,0
552,2014-10-19,0
553,2014-10-20,0
554,2014-10-21,0
555,2014-10-22,0
556,2014-10-23,0
557,2014-10-24,0
558,2014-10-25,0
559,2014-10-26,0
560,2014-10-27,0
561,2014-10-28,0
562,2014-10-29,0
563,2014-10-30,0
564,2014-10-31,0
565,2014-11-01,0
566,2014-11-02,0
567,2014-11-03,0
568,2014-11-04,0
569,2014-11-05,0
570,2014-11-06,0
571,2014-11-07,0
572,2014-11-08,0
573,2014-11-09,0
574,2014-11-10,1
575,2014-11-11,0
576,2014-11-12,0
577,2014-11-13,0
578,2014-11-14,0
579,2014-11-15,0
580,2014-11-16,0
581,2014-11-17,0
582,2014-11-18,0
583,2014-11-19,0
584,2014-11-20,0
585,2014-11-21,0
586,2014-11-22,0
587,2014-11-23,0
588,2014-11-24,0
589,2014-11-25,0
590,2014-11-26,0
591,2014-11-27,0
592,2014-11-28,0
593,2014-11-29,0
594,2014-11-30,0
595,2014-12-01,0
596,2014-12-02,0
597,2014-12-03,0
598,2014-12-04,0
599,2014-12-05,0
600,2014-12-06,0
601,2014-12-07,0
602,2014-12-08,0
603,2014-12-09,0
604,2014-12-10,0
605,2014-12-11,0
606,2014-12-12,0
607,2014-12-13,0
608,2014-12-14,0
609,2014-12-15,0
610,2014-12-16,0
611,2014-12-17,0
612,2014-12-18,0
613,2014-12-19,0
614,2014-12-20,0
615,2014-12-21,0
616,2014-12-22,0
617,2014-12-23,3
618,2014-12-24,0
619,2014-12-25,0
620,2014-12-26,0
621,2014-12-27,0
622,2014-12-28,0
623,2014-12-29,0
624,2014-12-30,0
625,2014-12-31,0
626,2015-01-01,0
627,2015-01-02,0
628,2015-01-03,1
629,2015-01-04,0
630,2015-01-05,1
631,2015-01-06,1
632,2015-01-07,0
633,2015-01-08,1
634,2015-01-09,0
635,2015-01-10,0
636,2015-01-11,0
637,2015-01-12,0
638,2015-01-13,0
639,2015-01-14,0
640,2015-01-15,0
641,2015-01-16,0
642,2015-01-17,0
643,2015-01-18,0
644,2015-01-19,0
645,2015-01-20,0
646,2015-01-21,0
647,2015-01-22,1
648,2015-01-23,0
649,2015-01-24,0
650,2015-01-25,0
651,2015-01-26,0
652,2015-01-27,0
653,2015-01-28,0
654,2015-01-29,0
655,2015-01-30,0
656,2015-01-31,0
657,2015-02-01,0
658,2015-02-02,0
659,2015-02-03,0
660,2015-02-04,0
661,2015-02-05,0
662,2015-02-06,0
663,2015-02-07,0
664,2015-02-08,0
665,2015-02-09,0
666,2015-02-10,0
667,2015-02-11,0
668,2015-02-12,0
669,2015-02-13,0
670,2015-02-14,0
671,2015-02-15,0
672,2015-02-16,0
673,2015-02-17,0
674,2015-02-18,0
675,2015-02-19,0
676,2015-02-20,0
677,2015-02-21,0
678,2015-02-22,0
679,2015-02-23,0
680,2015-02-24,0
681,2015-02-25,0
682,2015-02-26,0
683,2015-02-27,0
684,2015-02-28,0
685,2015-03-01,0
686,2015-03-02,0
687,2015-03-03,0
688,2015-03-04,3
689,2015-03-05,0
690,2015-03-06,0
691,2015-03-07,0
692,2015-03-08,0
693,2015-03-09,2
694,2015-03-10,0
695,2015-03-11,1
696,2015-03-12,1
697,2015-03-13,0
698,2015-03-14,0
699,2015-03-15,0
700,2015-03-16,0
701,2015-03-17,0
702,2015-03-18,0
703,2015-03-19,0
704,2015-03-20,0
705,2015-03-21,0
706,2015-03-22,0
707,2015-03-23,0
708,2015-03-24,2
709,2015-03-25,1
710,2015-03-26,0
711,2015-03-27,0
712,2015-03-28,0
713,2015-03-29,0
714,2015-03-30,0
715,2015-03-31,0
716,2015-04-01,0
717,2015-04-02,1
718,2015-04-03,0
719,2015-04-04,0
720,2015-04-05,0
721,2015-04-06,0
722,2015-04-07,0
723,2015-04-08,4
724,2015-04-09,0
725,2015-04-10,0
726,2015-04-11,0
727,2015-04-12,0
728,2015-04-13,0
729,2015-04-14,0
730,2015-04-15,1
731,2015-04-16,0
732,2015-04-17,1
733,2015-04-18,0
734,2015-04-19,0
735,2015-04-20,0
736,2015-04-21,1
737,2015-04-22,0
738,2015-04-23,0
739,2015-04-24,0
740,2015-04-25,0
741,2015-04-26,0
742,2015-04-27,0
743,2015-04-28,0
744,2015-04-29,0
745,2015-04-30,0
746,2015-05-01,0
747,2015-05-02,0
748,2015-05-03,0
749,2015-05-04,0
750,2015-05-05,0
751,2015-05-06,0
752,2015-05-07,0
753,2015-05-08,0
754,2015-05-09,0
755,2015-05-10,0
756,2015-05-11,0
757,2015-05-12,0
758,2015-05-13,1
759,2015-05-14,0
760,2015-05-15,2
761,2015-05-16,1
762,2015-05-17,0
763,2015-05-18,0
764,2015-05-19,0
765,2015-05-20,0
766,2015-05-21,0
767,2015-05-22,0
768,2015-05-23,0
769,2015-05-24,0
770,2015-05-25,0
771,2015-05-26,0
772,2015-05-27,0
773,2015-05-28,0
774,2015-05-29,0
775,2015-05-30,0
776,2015-05-31,0
777,2015-06-01,0
778,2015-06-02,0
779,2015-06-03,0
780,2015-06-04,0
781,2015-06-05,0
782,2015-06-06,0
783,2015-06-07,0
784,2015-06-08,0
785,2015-06-09,0
786,2015-06-10,0
787,2015-06-11,0
788,2015-06-12,0
789,2015-06-13,0
790,2015-06-14,0
791,2015-06-15,0
792,2015-06-16,0
793,2015-06-17,0
794,2015-06-18,0
795,2015-06-19,0
796,2015-06-20,0
797,2015-06-21,0
798,2015-06-22,0
799,2015-06-23,0
800,2015-06-24,0
801,2015-06-25,0
802,2015-06-26,0
803,2015-06-27,0
804,2015-06-28,0
805,2015-06-29,0
806,2015-06-30,0
807,2015-07-01,0
808,2015-07-02,0
809,2015-07-03,0
810,2015-07-04,0
811,2015-07-05,0
812,2015-07-06,0
813,2015-07-07,0
814,2015-07-08,0
815,2015-07-09,0
816,2015-07-10,0
817,2015-07-11,0
818,2015-07-12,0
819,2015-07-13,0
820,2015-07-14,0
821,2015-07-15,0
822,2015-07-16,0
823,2015-07-17,0
824,2015-07-18,0
825,2015-07-19,0
826,2015-07-20,0
827,2015-07-21,0
828,2015-07-22,0
829,2015-07-23,0
830,2015-07-24,0
831,2015-07-25,0
832,2015-07-26,0
833,2015-07-27,0
834,2015-07-28,0
835,2015-07-29,0
836,2015-07-30,0
837,2015-07-31,0
838,2015-08-01,0
839,2015-08-02,0
840,2015-08-03,0
841,2015-08-04,0
842,2015-08-05,0
843,2015-08-06,0
844,2015-08-07,0
845,2015-08-08,0
846,2015-08-09,0
847,2015-08-10,0
848,2015-08-11,0
849,2015-08-12,0
850,2015-08-13,0
851,2015-08-14,0
852,2015-08-15,0
853,2015-08-16,0
854,2015-08-17,0
855,2015-08-18,0
856,2015-08-19,0
857,2015-08-20,0
858,2015-08-21,0
859,2015-08-22,0
860,2015-08-23,0
861,2015-08-24,0
862,2015-08-25,0
863,2015-08-26,0
864,2015-08-27,0
865,2015-08-28,0
866,2015-08-29,0
867,2015-08-30,0
868,2015-08-31,0
869,2015-09-01,0
870,2015-09-02,0
871,2015-09-03,0
872,2015-09-04,0
873,2015-09-05,0
874,2015-09-06,0
875,2015-09-07,0
876,2015-09-08,0
877,2015-09-09,0
878,2015-09-10,0
879,2015-09-11,0
880,2015-09-12,0
881,2015-09-13,0
882,2015-09-14,0
883,2015-09-15,0
884,2015-09-16,0
885,2015-09-17,0
886,2015-09-18,0
887,2015-09-19,1
888,2015-09-20,0
889,2015-09-21,0
890,2015-09-22,0
891,2015-09-23,0
892,2015-09-24,0
893,2015-09-25,0
894,2015-09-26,0
895,2015-09-27,0
896,2015-09-28,0
897,2015-09-29,0
898,2015-09-30,0
899,2015-10-01,0
900,2015-10-02,0
901,2015-10-03,0
902,2015-10-04,0
903,2015-10-05,0
904,2015-10-06,0
905,2015-10-07,0
906,2015-10-08,0
907,2015-10-09,0
908,2015-10-10,0
909,2015-10-11,0
910,2015-10-12,0
911,2015-10-13,0
912,2015-10-14,0
913,2015-10-15,0
914,2015-10-16,0
915,2015-10-17,0
916,2015-10-18,0
917,2015-10-19,0
918,2015-10-20,0
919,2015-10-21,0
920,2015-10-22,0
921,2015-10-23,0
922,2015-10-24,0
923,2015-10-25,0
924,2015-10-26,0
925,2015-10-27,0
926,2015-10-28,0
927,2015-10-29,0
928,2015-10-30,0
929,2015-10-31,0
930,2015-11-01,0
931,2015-11-02,0
932,2015-11-03,0
933,2015-11-04,0
934,2015-11-05,0
935,2015-11-06,0
936,2015-11-07,0
937,2015-11-08,0
938,2015-11-09,0
939,2015-11-10,0
940,2015-11-11,0
941,2015-11-12,0
942,2015-11-13,0
943,2015-11-14,2
944,2015-11-15,0
945,2015-11-16,0
946,2015-11-17,0
947,2015-11-18,0
948,2015-11-19,0
949,2015-11-20,0
950,2015-11-21,0
951,2015-11-22,0
952,2015-11-23,0
953,2015-11-24,0
954,2015-11-25,0
955,2015-11-26,0
956,2015-11-27,0
957,2015-11-28,0
958,2015-11-29,0
959,2015-11-30,0
960,2015-12-01,0
961,2015-12-02,0
962,2015-12-03,0
963,2015-12-04,0
964,2015-12-05,0
965,2015-12-06,1
